_id,book_title,book_author,book_description,image_urls,book_url,image_file_path
67422f108868e4abd7479596,Objective NCERT at Your Fingertips for NEET-JEE - Chemistry,Mtg,,['https://covers.openlibrary.org/b/id/10161252-M.jpg'],https://openlibrary.org/works/OL20849874W/Objective_NCERT_at_Your_Fingertips_for_NEET-JEE_-_Chemistry,photos/Objective NCERT at Your Fingertips for NEET-JEE - Chemistry__9b4e70ee6d7604fab8ff276871b569be7f187f4f.jpg
67422f118868e4abd7479597,Your Fault,Mercedes Ron,,['https://covers.openlibrary.org/b/id/14552630-M.jpg'],https://openlibrary.org/works/OL35710173W/Your_Fault,photos/Your Fault__2b06b66015067e1930208c98704eba94d68304f4.jpg
67422f128868e4abd7479598,"Jujutsu Kaisen, Vol. 1 (呪術廻戦 Jujutsu Kaisen #1)",Gege Akutami,"book about curses and fighting OH also a few gays its nice i like it personally ;)
",['https://covers.openlibrary.org/b/id/9270022-M.jpg'],https://openlibrary.org/works/OL20644916W/Jujutsu_Kaisen_Vol._1_%28%E5%91%AA%E8%A1%93%E5%BB%BB%E6%88%A6_Jujutsu_Kaisen_1%29,"photos/Jujutsu Kaisen, Vol. 1 (呪術廻戦 Jujutsu Kaisen #1)__3bf566f52a2295af619ec9f906d9e04bdced5385.jpg"
67422f138868e4abd7479599,Exposing the satanic lullaby,William L. Devine,,['https://covers.openlibrary.org/b/id/12828325-M.jpg'],https://openlibrary.org/works/OL28588274W/Exposing_the_satanic_lullaby?edition=ia%3Aexposingsatanicl0000devi,photos/Exposing the satanic lullaby__5ea6940e6cedb52f00be4eb6f6158bece729ef4a.jpg
67422f158868e4abd747959a,Un giorno,Alison McGhee,"A mother reflects on the all the milestones, from walking in a deep wood to holding someone else's hand, that her child will achieve during life.
",['https://covers.openlibrary.org/b/id/12962340-M.jpg'],https://openlibrary.org/works/OL50198W/Someday?edition=ia%3Aungiorno0000mcgh,photos/Un giorno__9b2165feb2bfa7c1b0cc84a3dd56943bf13640b3.jpg
67422f168868e4abd747959b,Art of Public Speaking,Stephen E. Lucas,,['https://covers.openlibrary.org/b/id/4948638-M.jpg'],https://openlibrary.org/works/OL2637442W/The_Art_of_public_speaking?edition=ia%3Aartofpublicspe1989luca,photos/Art of Public Speaking__049850c0cc0f28d6f6514fbed4ab26c42b8207ad.jpg
67422f168868e4abd747959c,The 5 AM Club,Robin S. Sharma,,['https://covers.openlibrary.org/b/id/11217364-M.jpg'],https://openlibrary.org/works/OL19665926W/The_5_a.m._Club,photos/The 5 AM Club__1190703b5ed9c2d36a22dbee17eb8944810eac9a.jpg
67422f1a8868e4abd747959d,Carrie,Stephen King,"The story of misfit high-school girl, Carrie White, who gradually discovers that she has telekinetic powers. Repressed by a domineering, ultra-religious mother and tormented by her peers at school, her efforts to fit in lead to a dramatic confrontation during the senior prom. ",['https://covers.openlibrary.org/b/id/14656508-M.jpg'],https://openlibrary.org/works/OL81626W/Carrie?edition=ia%3Acarrie0000unse_u4w7,photos/Carrie__46d9434715b8955bcf97bc0430533bab54e51fb7.jpg
67422f1b8868e4abd747959e,The Duke and I,Julia Quinn,"HAS THE DEVASTATING DUKE FINALLY FOUND A BRIDE?
",['https://covers.openlibrary.org/b/id/10548994-M.jpg'],https://openlibrary.org/works/OL554620W/The_Duke_and_I?edition=ia%3Adukei00quin,photos/The Duke and I__15e4fe0b4ac8a2f81fed4473236561d7182c4f58.jpg
67422f1c8868e4abd747959f,Happy Halloween Gus!,Jacklyn Williams,,['https://covers.openlibrary.org/b/id/754131-M.jpg'],https://openlibrary.org/works/OL5718885W/Happy_Halloween_Gus%21?edition=ia%3Ahappyhalloweengu00jack,photos/Happy Halloween Gus!__e03c4c570c792391c58450123f6c19b32ca56ecb.jpg
67422f1d8868e4abd74795a0,Y tri blaidd bach a'r mochyn mawr drwg,Eugenios Trivizas,"A beautiful pop-up edition of the bestselling, award-winning picture book, it is complete with blown-down houses, blown-up explosions, and a fabulous dancing pig.
",['https://covers.openlibrary.org/b/id/12981776-M.jpg'],https://openlibrary.org/works/OL8316888W/The_Three_Little_Wolves_and_the_Big_Bad_Pig?edition=ia%3Aytriblaiddbachar0000triv,photos/Y tri blaidd bach a'r mochyn mawr drwg__2a23a49288b477311532db3150faf599b002f209.jpg
67422f1d8868e4abd74795a1,L'outsider,Stephen King,"""An unspeakable crime. A confounding investigation. At a time when the King brand has never been stronger, he has delivered one of his most unsettling and compulsively readable stories. An eleven-year-old boy's violated corpse is found in a town park. Eyewitnesses and fingerprints point unmistakably to one of Flint City's most popular citizens. He is Terry Maitland, Little League coach, English teacher, husband, and father of two girls. Detective Ralph Anderson, whose son Maitland once coached, orders a quick and very public arrest. Maitland has an alibi, but Anderson and the district attorney soon add DNA evidence to go with the fingerprints and witnesses. Their case seems ironclad. As the investigation expands and horrifying answers begin to emerge, King's propulsive story kicks into high gear, generating strong tension and almost unbearable suspense. Terry Maitland seems like a nice guy, but is he wearing another face? When the answer comes, it will shock you as only Stephen King can.""--
",['https://covers.openlibrary.org/b/id/14655671-M.jpg'],https://openlibrary.org/works/OL17937105W/The_Outsider?edition=ia%3Aloutsider0000step,photos/L'outsider__5a9ebdf73b0884644ba1b496b4fa2a76a1b6cb3d.jpg
67422f1f8868e4abd74795a2,"Rica daida, puara daida",Robert T. Kiyosaki,,['https://covers.openlibrary.org/b/id/14817253-M.jpg'],https://openlibrary.org/works/OL28606014W/Rica_daida_puara_daida?edition=ia%3Aricadaidapuarada0000kiyo,"photos/Rica daida, puara daida__268998f0cf9bc02ed0073fd2f492483c11a950a6.jpg"
67422f208868e4abd74795a3,Heaven Official's Blessing Vol. 1,Mo Xiang Tong Xiu,"This is the English versions with illustrations by ZeldaCW
",['https://covers.openlibrary.org/b/id/13131706-M.jpg'],https://openlibrary.org/works/OL25957469W/Heaven_Official%27s_Blessing,photos/Heaven Official's Blessing Vol. 1__4c38b0f307adc6548d27d18938b6b3b59c9a98a6.jpg
67422f238868e4abd74795a4,Girls Can Be Anything,Norma Klein,"By using living examples, Marina convinces her kindergarten friend Adam that girls can be doctors, pilots, and presidents, too
",['https://covers.openlibrary.org/b/id/6691721-M.jpg'],https://openlibrary.org/works/OL4634676W/Girls_Can_Be_Anything?edition=ia%3Agirlscanbeanythi00klei,photos/Girls Can Be Anything__54a37044e0108b0b2c8d823f528c44a9136dc65d.jpg
67422f238868e4abd74795a5,Black Market,James Patterson,"A string of #1 blockbusters from Along Came a Spider to Cat & Mouse. Now read James Patterson's BLACK FRIDAY.The breathtaking suspense of Kiss the Girls and the authenticity of N.Y.P.D. Blue: Welcome to James Patterson's classic superthriller, BLACK FRIDAY. A courageous federal agent, a powerful and resourceful woman lawyer -- only they can possibly stop the unspeakable from happening. New York City is under siege by a secret militia group -- and that's just the beginning of the relentless terror of BLACK FRIDAY.",['https://covers.openlibrary.org/b/id/13196054-M.jpg'],https://openlibrary.org/works/OL167147W/Black_Friday?edition=ia%3Ablackmarket0000patt_b5s8,photos/Black Market__05289e5c14977c0a588bcc58f16b35569c550d91.jpg
67422f248868e4abd74795a6,Never Lie,Freida McFadden,,['https://covers.openlibrary.org/b/id/13198561-M.jpg'],https://openlibrary.org/works/OL34224558W/Never_Lie,photos/Never Lie__ede5d6d14cfe43d49df02a271b66b43e4285811d.jpg
